0.00010458783486943291,3.3250670994844876e-07,4.425558253941891e-05
1.2727783387433308e-05,-1.5017764258697315e-05,-1.134036929428758e-05
-6.0428837883232035e-06,1.8139131646658045e-06,2.760253041700981e-06
-1.0466187384055414e-06,-1.0910022678290365e-06,-7.192608034728306e-07
-1.218428150234814e-06,-6.461440626423903e-07,-2.2190136073791838e-07
-1.0090830563097586e-06,3.359592028866468e-07,-3.497415886466267e-07
-1.4111590672804418e-07,1.1649515233185126e-07,-8.838301377513443e-08
1.301488513468213e-05,1.335293356223394e-07,5.5165788888197885e-06
2.841252758218837e-06,-3.276381346311853e-06,-2.5420375712594047e-06
-1.8460859748091135e-06,5.661364550725034e-07,7.961851608971608e-07
-3.7588848993884474e-07,-3.6069142415426144e-07,-2.5072038292465295e-07
-4.266491161891722e-07,-2.134093949769597e-07,-1.8886119172630475e-07
-2.9842808390439125e-07,-5.2294088731854916e-08,-9.78410268652891e-08
3.1844259156884406e-13,4.666791146061636e-13,2.643260707225013e-13
6.9725234517163775e-06,2.2166793041922188e-08,2.950371370183804e-06
1.590973601822795e-06,-1.877221300880754e-06,-1.4175475967002547e-06
-1.0663913310572798e-06,3.201024317710209e-07,4.871037293874975e-07
-2.3258198521996234e-07,-2.424453669069866e-07,-1.598359152194501e-07
-3.206395541272937e-07,-1.7003776984308356e-07,-5.8395048535676086e-08
-3.0272513406460584e-07,1.0078823352223947e-07,-1.0492244042921311e-07
-4.7038507309771477e-08,3.8832107010446634e-08,-2.9460854949051628e-08
4.732686257555328e-06,4.855600039547715e-08,2.0060281700411716e-06
1.111795096264327e-06,-1.2820627532792679e-06,-9.947114073589382e-07
-7.692025371237387e-07,2.3589028557240166e-07,3.3174394491472966e-07
-1.6539087621100152e-07,-1.5870487426486904e-07,-1.1031737680507814e-07
-1.9691524341438559e-07,-9.849656807445277e-08,-8.71667642581636e-08
-1.436876730597029e-07,-2.5178413240846997e-08,-4.710859346659225e-08
3.18426516910334e-13,4.666819916291968e-13,2.6432821106887987e-13
3.606478230429562e-06,1.1465416599561943e-08,1.52605374368523e-06
-2.7286981512006418e-06,-1.0471744765478508e-06,-2.308150587715845e-06
-1.5029041609059592e-06,1.2233541966916861e-06,1.0676381469676833e-06
4.807646500352247e-07,-3.381297803680885e-07,-3.8475202962641565e-07
-6.571335699346813e-08,3.9079107963194284e-08,6.094959216752356e-08
1.2977146696247923e-09,1.8091360127542016e-07,-3.410142351684354e-08
1.7471353023740775e-07,-4.138871686468895e-08,5.102671448771396e-08
3.6243767448951884e-06,8.715974696841802e-09,1.5431479126901595e-06
-2.708544188709582e-06,-1.0536444557975702e-06,-2.310724748501838e-06
-1.5183495468519615e-06,1.212027630144487e-06,1.0634550306038536e-06
4.94003080237056e-07,-3.3203457229671686e-07,-3.6964814608168937e-07
-3.396654739566945e-08,4.850678848026725e-08,1.6951267975681946e-08
4.276621170120428e-08,6.486557166543145e-08,3.428977940093017e-08
1.3377856772575177e-07,2.3442853590041235e-08,4.38601534837082e-08
3.6064786597049977e-06,1.146502530059465e-08,1.526053202796043e-06
-2.7286983598099667e-06,-1.0471747345038062e-06,-2.3081509659622617e-06
-1.502904578776673e-06,1.2233546844063106e-06,1.0676390859992276e-06
4.807646667056141e-07,-3.3813010373923236e-07,-3.84752289444527e-07
-6.571370176643354e-08,3.907946038132769e-08,6.094973495708495e-08
1.2979364610237832e-09,1.8091383463254028e-07,-3.4101429000751335e-08
